payment_history_log_id,payer_type,payer_id,receiver_type,receiver_id,created_at,amount
6612904,ActivityTransaction,4581903,FundingSource,3988,44578.36567,34.5
6825729,ActivityTransaction,4673286,FundingSource,4605,44600.75105,18
6830352,ActivityTransaction,4675726,User,52548,44600.91176,18
6838995,ActivityTransaction,4687432,FundingSource,7087,44601.74392,18
6841513,ActivityTransaction,4689575,User,42151,44601.85119,18
6841582,ActivityTransaction,4689690,User,47338,44601.85591,18
6819165,ActivityTransaction,4692668,User,10376,44599.99251,18
6856728,ActivityTransaction,4700927,FundingSource,7408,44602.886,18
6857430,ActivityTransaction,4701335,FundingSource,1152,44602.92264,18
6857476,ActivityTransaction,4701457,FundingSource,3614,44602.9251,18
6841516,ActivityTransaction,4709496,FundingSource,7745,44601.85148,18
6869974,ActivityTransaction,4710178,User,40379,44603.88639,18
6871099,ActivityTransaction,4711026,User,38119,44603.97759,18
6819532,ActivityTransaction,4718200,FundingSource,5846,44600.03005,32
6819547,ActivityTransaction,4718214,FundingSource,5846,44600.03054,32
6839322,ActivityTransaction,4722142,User,60344,44601.75887,18
6905463,ActivityTransaction,4724795,User,55448,44607.88696,18
6905608,ActivityTransaction,4724824,User,61732,44607.88986,18
6906065,ActivityTransaction,4724893,User,61732,44607.89888,18
6906278,ActivityTransaction,4724940,User,61732,44607.90405,18
6907459,ActivityTransaction,4725460,User,61732,44607.93269,18
6856656,ActivityTransaction,4744685,FundingSource,5846,44602.88115,35
6856701,ActivityTransaction,4744733,FundingSource,3,44602.88417,32
6894466,ActivityTransaction,4746783,FundingSource,671,44606.9817,5
6951805,ActivityTransaction,4755557,FundingSource,5480,44610.97801,18
6854152,ActivityTransaction,4761604,User,55322,44602.80559,29.5
6894365,ActivityTransaction,4764287,FundingSource,3,44606.97586,32
6894390,ActivityTransaction,4764302,FundingSource,3,44606.9794,34
6894520,ActivityTransaction,4764329,FundingSource,5846,44606.98623,40
6894771,ActivityTransaction,4764366,FundingSource,4946,44606.99399,5
6860079,ActivityTransaction,4765946,FundingSource,5319,44603.38898,21
6968510,ActivityTransaction,4770804,FundingSource,7087,44614.77927,18
6968876,ActivityTransaction,4771135,User,25165,44614.80551,19
6968984,ActivityTransaction,4771242,FundingSource,2356,44614.81373,18
6970074,ActivityTransaction,4771861,FundingSource,7087,44614.87847,18
6971596,ActivityTransaction,4772887,User,52304,44614.97535,5
6914598,ActivityTransaction,4775401,FundingSource,5846,44608.79191,46
6914596,ActivityTransaction,4775402,FundingSource,5846,44608.79191,46
6914597,ActivityTransaction,4775404,FundingSource,3,44608.79191,38
6914606,ActivityTransaction,4775405,FundingSource,5846,44608.79214,46
6914729,ActivityTransaction,4778236,FundingSource,1267,44608.79785,18
6914738,ActivityTransaction,4778240,FundingSource,1267,44608.79806,18
6977269,ActivityTransaction,4781717,User,42151,44615.72485,18
6977832,ActivityTransaction,4782142,User,42151,44615.75574,18
6978124,ActivityTransaction,4782573,FundingSource,7827,44615.77527,18
6961815,ActivityTransaction,4783655,User,9269,44613.82498,40
6991436,ActivityTransaction,4796499,User,40284,44616.76594,18
6991490,ActivityTransaction,4796521,User,40284,44616.76866,18
6993432,ActivityTransaction,4798748,FundingSource,5794,44616.8644,5
6936440,ActivityTransaction,4801591,User,52133,44609.93066,5
6994719,ActivityTransaction,4801729,FundingSource,7583,44616.947,18
6994716,ActivityTransaction,4801731,FundingSource,7583,44616.94699,18
7001717,ActivityTransaction,4806506,User,42151,44617.7851,18
6979444,ActivityTransaction,4806740,User,31440,44615.80054,37
6977323,ActivityTransaction,4817578,User,48084,44615.72816,5
7013764,ActivityTransaction,4817819,User,51356,44620.74859,18
6968431,ActivityTransaction,4818158,User,29397,44614.77231,18
7015804,ActivityTransaction,4818990,User,52304,44620.8359,5
7015820,ActivityTransaction,4819011,User,52304,44620.83718,5
7015896,ActivityTransaction,4819060,User,52304,44620.84172,5
7033800,ActivityTransaction,4825307,User,58096,44621.76778,23.5
6980180,ActivityTransaction,4826200,User,59094,44615.83541,18
6977248,ActivityTransaction,4832398,FundingSource,4946,44615.72267,5
6979499,ActivityTransaction,4833915,FundingSource,4946,44615.80522,5
6991370,ActivityTransaction,4839217,FundingSource,7408,44616.76205,18
7002193,ActivityTransaction,4839765,User,63282,44617.81117,18
7062361,ActivityTransaction,4841684,User,42151,44623.94314,18
7071253,ActivityTransaction,4849412,FundingSource,7414,44624.83628,18
7072096,ActivityTransaction,4850505,FundingSource,7827,44624.87523,18
7073620,ActivityTransaction,4851485,FundingSource,7414,44624.91485,18
7074116,ActivityTransaction,4851781,User,45394,44624.9334,18
7057981,ActivityTransaction,4864679,User,48161,44623.79016,5
7073638,ActivityTransaction,4866493,User,53349,44624.91728,18
7073785,ActivityTransaction,4866633,User,54140,44624.92639,18
7085145,ActivityTransaction,4875173,User,52006,44627.72647,34.5
7055858,ActivityTransaction,4883070,FundingSource,7982,44623.71093,18
7073860,ActivityTransaction,4887272,FundingSource,2992,44624.93137,5
7069465,ActivityTransaction,4893145,User,48155,44624.75934,18
7143536,ActivityTransaction,4893759,User,41676,44631.81321,5
7073027,ActivityTransaction,4895463,FundingSource,6205,44624.89565,18
7178422,ActivityTransaction,4896211,User,52006,44636.73688,34.5
7154076,ActivityTransaction,4901153,User,48186,44634.67436,5
7129093,ActivityTransaction,4902327,User,37476,44630.77821,18
7157236,ActivityTransaction,4903207,User,42151,44634.79887,18
7181063,ActivityTransaction,4924315,FundingSource,7975,44636.90909,18
7166103,ActivityTransaction,4934493,User,37426,44635.70975,18